name,count,collection,eod,eodnum,tops,th,gs_tops_mm,snd_shl,mean_gs_mm,max_gs_mm,ng,ar,depth_m,grain_size_mm
Karoo krf1,1,Skoorsteenberg,fan,1,15.93776136,1.099737064,0.230018447,1,0.230018447,0.230018447,0.772614886,0.104761905,"15.9378,14.8380,","0.2300,0.2300,"
Karoo krf1,1,Skoorsteenberg,fan,1,14.8380243,0.010128069,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"14.8380,14.8279,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,14.82789623,0.157547742,0.17507135,1,0.17507135,0.17507135,0.772614886,0.104761905,"14.8279,14.6703,","0.1751,0.1751,"
Karoo krf1,1,Skoorsteenberg,fan,1,14.67034849,0.036010912,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"14.6703,14.6343,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,14.63433757,1.090384363,0.150952985,1,0.150952985,0.150952985,0.772614886,0.104761905,"14.6343,13.5440,","0.1510,0.1510,"
Karoo krf1,1,Skoorsteenberg,fan,1,13.54395321,0.317106889,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"13.5440,13.2268,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,13.22684632,1.911816355,0.178879484,1,0.178879484,0.178879484,0.772614886,0.104761905,"13.2268,11.3150,","0.1789,0.1789,"
Karoo krf1,1,Skoorsteenberg,fan,1,11.31502997,0.036148466,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"11.3150,11.2789,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,11.2788815,0.056804732,0.141116309,1,0.141116309,0.141116309,0.772614886,0.104761905,"11.2789,11.2221,","0.1411,0.1411,"
Karoo krf1,1,Skoorsteenberg,fan,1,11.22207677,0.041312532,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"11.2221,11.1808,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,11.18076424,0.108445397,0.140004598,1,0.140004598,0.140004598,0.772614886,0.104761905,"11.1808,11.0723,","0.1400,0.1400,"
Karoo krf1,1,Skoorsteenberg,fan,1,11.07231884,0.030984399,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"11.0723,11.0413,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,11.04133444,0.280635581,0.24890412,1,0.24890412,0.24890412,0.772614886,0.104761905,"11.0413,10.7607,","0.2489,0.2489,"
Karoo krf1,1,Skoorsteenberg,fan,1,10.76069886,0.038316436,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"10.7607,10.7224,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,10.72238243,1.117973695,0.144089468,1,0.149518125,0.149689595,0.772614886,0.104761905,"10.7224,10.6539,9.6044,","0.1441,0.1497,0.1497,"
Karoo krf1,1,Skoorsteenberg,fan,1,9.604408731,0.211463066,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"9.6044,9.3929,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,9.392945664,0.535541602,0.213152965,1,0.213152965,0.213152965,0.772614886,0.104761905,"9.3929,8.8574,","0.2132,0.2132,"
Karoo krf1,1,Skoorsteenberg,fan,1,8.857404062,0.166202566,0.25,1,0.25,0.25,0.772614886,0.104761905,"8.8574,8.6912,","0.2500,0.2500,"
Karoo krf1,1,Skoorsteenberg,fan,1,8.691201496,0.20313647,0.173634758,1,0.173634758,0.173634758,0.772614886,0.104761905,"8.6912,8.4881,","0.1736,0.1736,"
Karoo krf1,1,Skoorsteenberg,fan,1,8.488065026,0.270182703,0.222390633,1,0.222390633,0.222390633,0.772614886,0.104761905,"8.4881,8.2179,","0.2224,0.2224,"
Karoo krf1,1,Skoorsteenberg,fan,1,8.217882323,0.071455906,0.169507651,1,0.169507651,0.169507651,0.772614886,0.104761905,"8.2179,8.1464,","0.1695,0.1695,"
Karoo krf1,1,Skoorsteenberg,fan,1,8.146426417,0.106907918,0.174866863,1,0.174866863,0.174866863,0.772614886,0.104761905,"8.1464,8.0395,","0.1749,0.1749,"
Karoo krf1,1,Skoorsteenberg,fan,1,8.0395185,0.165479622,,,,,0.772614886,0.104761905,"8.0395,7.8740,","NaN,NaN,"
Karoo krf1,1,Skoorsteenberg,fan,1,7.874038878,0.204745828,0.177357363,1,0.177357363,0.177357363,0.772614886,0.104761905,"7.8740,7.6693,","0.1774,0.1774,"
Karoo krf1,1,Skoorsteenberg,fan,1,7.66929305,0.15997647,,,,,0.772614886,0.104761905,"7.6693,7.5093,","NaN,NaN,"
Karoo krf1,1,Skoorsteenberg,fan,1,7.50931658,1.209637444,0.164085366,1,0.164085366,0.164085366,0.772614886,0.104761905,"7.5093,6.2997,","0.1641,0.1641,"
Karoo krf1,1,Skoorsteenberg,fan,1,6.299679136,0.064137463,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"6.2997,6.2355,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,6.235541674,0.280601399,0.175958947,1,0.175958947,0.175958947,0.772614886,0.104761905,"6.2355,5.9549,","0.1760,0.1760,"
Karoo krf1,1,Skoorsteenberg,fan,1,5.954940275,0.059880792,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"5.9549,5.8951,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,5.895059484,0.418477783,0.190226974,1,0.225254046,0.25,0.772614886,0.104761905,"5.8951,5.5486,5.4766,","0.1902,0.2500,0.2500,"
Karoo krf1,1,Skoorsteenberg,fan,1,5.4765817,0.061465068,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"5.4766,5.4151,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,5.415116632,0.28407882,0.25,1,0.25,0.25,0.772614886,0.104761905,"5.4151,5.1310,","0.2500,0.2500,"
Karoo krf1,1,Skoorsteenberg,fan,1,5.131037812,0.029479698,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"5.1310,5.1016,","0.0646,0.0646,"
Karoo krf1,1,Skoorsteenberg,fan,1,5.101558114,0.165781611,0.150771478,1,0.150771478,0.150771478,0.772614886,0.104761905,"5.1016,4.9358,","0.1508,0.1508,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.935776503,0.037677639,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"4.9358,4.8981,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.898098864,0.120030985,0.175684,1,0.175684,0.175684,0.772614886,0.104761905,"4.8981,4.7781,","0.1757,0.1757,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.778067879,0.104150967,0.175595049,1,0.175595049,0.175595049,0.772614886,0.104761905,"4.7781,4.6739,","0.1756,0.1756,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.673916912,0.109265153,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"4.6739,4.5647,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.56465176,0.094884398,0.19774628,1,0.19774628,0.19774628,0.772614886,0.104761905,"4.5647,4.4698,","0.1977,0.1977,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.469767362,0.008729109,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"4.4698,4.4610,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.461038253,0.088542451,0.19774628,1,0.19774628,0.19774628,0.772614886,0.104761905,"4.4610,4.3725,","0.1977,0.1977,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.372495801,0.070221729,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"4.3725,4.3023,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.302274072,0.154029245,0.204791513,1,0.220808132,0.229025058,0.772614886,0.104761905,"4.3023,4.1978,4.1482,","0.2048,0.2290,0.2290,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.148244827,0.011913229,0.227631172,1,0.227631172,0.227631172,0.772614886,0.104761905,"4.1482,4.1363,","0.2276,0.2276,"
Karoo krf1,1,Skoorsteenberg,fan,1,4.136331598,0.2122535,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"4.1363,3.9241,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,3.924078098,0.030617147,0.231598465,1,0.231598465,0.231598465,0.772614886,0.104761905,"3.9241,3.8935,","0.2316,0.2316,"
Karoo krf1,1,Skoorsteenberg,fan,1,3.893460951,0.480949895,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"3.8935,3.4125,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,3.412511056,0.137208625,0.162513718,1,0.162513718,0.162513718,0.772614886,0.104761905,"3.4125,3.2753,","0.1625,0.1625,"
Karoo krf1,1,Skoorsteenberg,fan,1,3.275302431,0.903568995,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"3.2753,2.3717,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,2.371733436,0.141521203,0.191479102,1,0.191479102,0.191479102,0.772614886,0.104761905,"2.3717,2.2302,","0.1915,0.1915,"
Karoo krf1,1,Skoorsteenberg,fan,1,2.230212233,0.007214378,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"2.2302,2.2230,","0.0625,0.0625,"
Karoo krf1,1,Skoorsteenberg,fan,1,2.222997855,0.139477977,0.192911228,1,0.192911228,0.192911228,0.772614886,0.104761905,"2.2230,2.0835,","0.1929,0.1929,"
Karoo krf1,1,Skoorsteenberg,fan,1,2.083519878,0.24047927,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"2.0835,1.8430,","0.0625,0.0625,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.843040608,0.101001294,0.240619755,1,0.240619755,0.240619755,0.772614886,0.104761905,"1.8430,1.7420,","0.2406,0.2406,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.742039314,0.038476683,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"1.7420,1.7036,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.703562631,0.028857512,0.134958394,1,0.134958394,0.134958394,0.772614886,0.104761905,"1.7036,1.6747,","0.1350,0.1350,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.674705119,0.024047927,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"1.6747,1.6507,","0.0625,0.0625,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.650657191,0.069738988,0.133967908,1,0.133967908,0.133967908,0.772614886,0.104761905,"1.6507,1.5809,","0.1340,0.1340,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.580918203,0.086572537,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"1.5809,1.4943,","0.0625,0.0625,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.494345666,0.254908027,0.249647321,1,0.249647321,0.249647321,0.772614886,0.104761905,"1.4943,1.2394,","0.2496,0.2496,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.239437639,0.110620464,0.156380436,1,0.156380436,0.156380436,0.772614886,0.104761905,"1.2394,1.1288,","0.1564,0.1564,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.128817175,0.038476683,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"1.1288,1.0903,","0.0625,0.0625,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.090340491,0.048095854,0.108598966,1,0.108598966,0.108598966,0.772614886,0.104761905,"1.0903,1.0422,","0.1086,0.1086,"
Karoo krf1,1,Skoorsteenberg,fan,1,1.042244637,0.043286269,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"1.0422,0.9990,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.998958369,0.134043559,0.25,1,0.25,0.25,0.772614886,0.104761905,"0.9990,0.8649,","0.2500,0.2500,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.86491481,0.156072119,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"0.8649,0.7088,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.708842691,0.106496269,0.174479052,1,0.174479052,0.174479052,0.772614886,0.104761905,"0.7088,0.6023,","0.1745,0.1745,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.602346421,0.123021553,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"0.6023,0.4793,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.479324869,0.040395137,0.120034891,1,0.120034891,0.120034891,0.772614886,0.104761905,"0.4793,0.4389,","0.1200,0.1200,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.438929732,0.145055263,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"0.4389,0.2939,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.293874469,0.042231279,0.120034891,1,0.120034891,0.120034891,0.772614886,0.104761905,"0.2939,0.2516,","0.1200,0.1200,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.25164319,0.031214424,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"0.2516,0.2204,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.220428766,0.086298701,0.11869221,1,0.11869221,0.11869221,0.772614886,0.104761905,"0.2204,0.1341,","0.1187,0.1187,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.134130065,0.031214424,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"0.1341,0.1029,","0.0583,0.0583,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.102915641,0.101506523,0.174479052,1,0.174479052,0.174479052,0.772614886,0.104761905,"0.1029,0.0014,","0.1745,0.1745,"
Karoo krf1,1,Skoorsteenberg,fan,1,0.001409118,0.001409118,0.03125,0,0.03125,0.03125,0.772614886,0.104761905,"0.0014,0.0000,","0.0583,0.0583,"
Karoo krf2,2,Skoorsteenberg,fan,1,9.034749777,0.140167853,0.157293867,1,0.157293867,0.157293867,0.964343429,0.35,"9.0347,8.8946,","0.1573,0.1573,"
